Serotype,Region,Subregion,Country,Admin.level.1,Latitude,Longitude,Animal.type,Species,Report.date
H5N1,Asia,Eastern Asia,Japan,Oosaka,34.5739,135.4828,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,South-Eastern Asia,Viet Nam,Ninh Binh,20.094427,105.960636,Domestic,Unspecified Bird,22/02/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.57626,120.172523,Domestic,Chicken,16/02/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.60533,120.19777,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,22.74714,120.58516,Domestic,Chicken,9/04/2024
H5N6,Asia,Eastern Asia,Japan,Kagosima,31.4168,130.3232,Domestic,Unspecified Bird,14/02/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Kyonggi-do,36.905833,127.015498,Domestic,Unspecified Bird,19/02/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Corvidae (Incognita),14/03/2024
H5N1,Asia,Eastern Asia,Japan,Iwate,40.1907,141.7755,Wild,Eastern Buzzard:buteo Japonicus(Accipitridae),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Kyonggi-do,36.905833,127.015498,Domestic,Duck,19/02/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Kyongsangnam-do,35.314396,128.682956,Wild,Great Cormorant (Phalacrocorax Carbo),19/02/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Kyongsangnam-do,35.314396,128.682956,Wild,Unspecified Bird,19/02/2024
H5N1,Asia,Southern Asia,India,Andhra Pradesh,14.509253,79.968125,Domestic,Unspecified Bird,10/04/2024
H5N1,Asia,Eastern Asia,Japan,Kagawa,34.1825,133.7152,Domestic,Unspecified Bird,9/02/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.75,120.25,Domestic,Chicken,7/02/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.7588,120.23387,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.786779,120.273995,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Republic of Korea,Kyongsangnam-do,35.314396,128.682956,Wild,Accipitridae (Incognita),19/02/2024
H5N1,Asia,Western Asia,Cyprus,Paphos,34.75658,32.41129,Wild,Peregrin Falcon:falco Peregrinus(Falconidae),19/02/2024
H5N1,Asia,Southern Asia,India,Andhra Pradesh,14.387817,79.766798,Domestic,Unspecified Bird,10/04/2024
H5Nx,Asia,Eastern Asia,Republic of Korea,Kyonggi-do,37,127.266667,Wild,Unspecified Bird,1/02/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,41.7689,140.7286,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
